"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"975 MANHATTAN AVENUE","Brooklyn","3064283","301","Approved Work","Essential Facility; Affordable Housing","321669654"
"98 LORRAINE STREET","BROOKLYN","3398523","306","Approved Work","Essential Facility","321667219"
"98 SOUTH 4TH STREET","Brooklyn","3063428","301","Approved Work","Single Worker Limit","321738349"
"99 THATFORD AVENUE","Brooklyn","3398403","316","Approved Work","Essential Facility","320517954"
"990 JEROME STREET","BROOKLYN","3098261","305","Approved Work","LAA","B00345693"
"990 PRESIDENT STREET","BROOKLYN","3029703","309","Approved Work","Essential Business; Electrical","B00220123; B00346190"
"9924 AVENUE K","BROOKLYN","3231987","318","Approved Work","Electrical","B00344136"
"998 WILLIAMS AVENUE","Brooklyn","3321347","318","Approved Work","Electrical","B00341315"
"999 BLAKE AVENUE","Brooklyn","3089807","305","Approved Work","Essential Facility","321193917"
"999 BUSHWICK AVE","Brooklyn","3075876","304","Approved Work","Essential Facility; Affordable Housing","321969599"
"1 BROADWAY","MANHATTAN","1000043","101","Approved Work","Emergency Construction; Essential Business; LAA","123810527; 123835216; M00254828; M00254995; 122764035; M00185692; M00339868; M00339876; M00340104; M00340106; M00344090; M00344090; M00344090; M00344748; M00344756; M00344760; M00344760; M00344765; M00344765; M00344826; M00344826"
"1 BRYANT PARK","MANHATTAN","1087268","105","Approved Work","LAA","M00343916"
"1 LIBERTY PLAZA","Manhattan","1001068","101","Approved Work","Essential Facility; Essential Business; Electrical","123695411; 123854999; M00191916; M00225850; M00230634; M00276932; M00341796; M00321718; M00345482"
"1 LINCOLN PLAZA","MANHATTAN","1027472","107","Approved Work","Emergency Construction; Essential Facility","123068544; M00319793"
"1 NEW YORK PLAZA","Manhattan","1000005","101","Approved Work","Essential Business","123792477; M00268659; M00268754; M00268799; M00273664; M00273670"
"1 PENN PLAZA","MANHATTAN","1014387","105","Approved Work","Emergency Construction; Essential Facility; Essential Business; Electrical","123573329; M00217960; M00240707; 123511903; 123764480; 123821454; M00334442; M00340674; M00340998"
"1 RIVER PLACE","Manhattan","1085803","104","Approved Work","Electrical","M00345355"
"1 ROCKEFELLER PLAZA","MANHATTAN","1077286","105","Approved Work","Essential Business; Electrical","123830168; M00319098; M00319127; M00328654; M00344415"
"1 STATE STREET","Manhattan","1000018","101","Approved Work","Electrical","M00345867"
"1 UN PLAZA","Manhattan","1038758","106","Approved Work","Electrical","M00345331"
"1 WALL STREET","Manhattan","1000815","101","Approved Work","Emergency Construction; Essential Facility; Electrical","121190086; 122808042; M00344515; M00345342; M00345479"
"1 WEST 64 STREET","Manhattan","1028137","107","Approved Work","Essential Facility","123296218"
"1 WEST 72ND STREET","Manhattan","1028637","107","Approved Work","Electrical","M00345339"
"1 WEST ST","Manhattan","1082634","101","Approved Work","Electrical","M00340549"
"10 COLUMBUS CIRCLE","MANHATTAN","1026318","104","Approved Work","Emergency Construction; Essential Facility; Essential Business; Electrical","123781657; 123790282; 123810359; 123810368; 123874682; M00210238; M00224953; M00231549; M00231645; M00231668; M00231681; M00249736; M00253152; M00253232; M00268371; M00269804; M00272579; M00298725; 123810359; M00275355; M00327006; M00340653; M00344846; M00345606; M00346545"
"10 EAST 40 STREET","MANHATTAN","1017601","105","Approved Work","Emergency Construction; Essential Facility","123392364; 123848578; M00296879; M00296961; M00297003; M00297024"
"10 EAST 53 STREET","MANHATTAN","1035709","105","Approved Work","Essential Facility","123689838; M00235898"
"10 MITCHELL PLACE","MANHATTAN","1040077","106","Approved Work","Electrical","M00334740"
"10 MONROE STREET","Manhattan","1077585","103","Approved Work","Emergency Construction; Essential Facility; Affordable Housing","140569766"
"10 SOUTH STREET","Manhattan","1000003","101","Approved Work","Essential Facility","121324129"
"10 VANDERBILT AVENUE","Manhattan","1090825","105","Approved Work","Emergency Construction; Essential Facility; Essential Business; Electrical","121189828; 123162610; 123667433; 123667442; 123703590; 123767637; 140447559; 140455914; 140731420; 140734034; 140844834; M00208120; M00305753; 121189828; 123064254; 123162610; 123741610; 140447559; 140455914; 140731420; 140768523; M00201554; M00262796; M00262888; M00263299; M00344366; M00346809"
"100 2 AVENUE","MANHATTAN","1006226","103","Approved Work","Emergency Construction","123725077"
"100 EAST 104TH STREET","Manhattan","1089853","111","Approved Work","Electrical","M00342872"
"100 HAVEN AVENUE","Manhattan","1088757","112","Approved Work","Essential Facility","122456840"
"100 PARK AVENUE","MANHATTAN","1035319","105","Approved Work","Essential Facility","122827469; 123694680; 123814952; 123845508"
"100 VANDAM STREET","Manhattan","1010360","102","Approved Work","Essential Business","121190237"
"100 WASHINGTON STREET","Manhattan","1088750","101","Approved Work","Essential Facility; Essential Business","121189089; 123686920; M00275110"
"100 WEST 146TH STREET","Manhattan","1060189","110","Approved Work","Emergency Construction; Essential Facility","123406670; 123406705"
"100 WEST 89 STREET","MANHATTAN","1032320","107","Approved Work","Emergency Construction","M00315883"
"100 WEST 93 STREET","MANHATTAN","1032526","107","Approved Work","Single Worker Limit","140898517"
"1000 FIFTH AVENUE","Manhattan","1083810","164","Approved Work","Emergency Construction; Essential Facility","123056557; M00174594"
"101 EAST  100 STREET","MANHATTAN","1051781","111","Approved Work","Electrical","M00340763"
"101 EAST 2ND ST","Manhattan","1079727","103","Approved Work","Emergency Construction","M00331048"
"101 LEXINGTON AVENUE","MANHATTAN","1018173","106","Approved Work","LAA","M00299078"
"101 WEST 12 STREET","MANHATTAN","1010619","102","Approved Work","Emergency Construction","123741200; M00296932"
"101 WEST 57TH STREET","Manhattan","1023730","105","Approved Work","Essential Facility; Essential Business","M00183688; M00183765; M00183842; M00183860; 123534504; 123554386; 123802484; 123821463; 123880425; 123880434; M00191278; M00191297; M00191480; M00191490; M00191805; M00191820; M00272330"
"101 WEST END AVENUE","Manhattan","1085785","107","Approved Work","Essential Facility; Affordable Housing","123655561; 123689570; 123753269; 123779063; 140882089"
"102 CHAMBERS STREET","Manhattan","1090540","101","Approved Work","Essential Facility","122131371; 122131399; 122572894; 122572901; 122757196; 140395490; 140402507; 140468009"
"102 CONVENT AVE","Manhattan","1059629","109","Approved Work","Emergency Construction","122918101"
"102 JOHN STREET","MANHATTAN","1001129","101","Approved Work","Essential Facility; Affordable Housing","121188053; 123417427; 123590881; 123590890"
"102 NORTH END AVENUE","Manhattan","1085867","101","Approved Work","Emergency Construction","140853422"
"102 WEST   57 STREET","MANHATTAN","1089420","105","Approved Work","Electrical","M00344516"
"103 CHARLES STREET","Manhattan","1011240","102","Approved Work","Single Worker Limit","123753492"
"103 EAST   20 STREET","MANHATTAN","1017964","106","Approved Work","Electrical","M00345737"
"103 WEST 141 STREET","MANHATTAN","1060089","110","Approved Work","Electrical","M00346034"
"1037 2 AVENUE","MANHATTAN","1038575","106","Approved Work","Essential Facility","123764319; 123780293; M00300058; M00300062"
"104 2 AVENUE","MANHATTAN","1006262","103","Approved Work","Essential Facility","123537404"
"104 EAST 37 STREET","Manhattan","1018992","106","Approved Work","LAA","M00345099"
"1047 AMSTERDAM AVENUE","Manhattan","1082706","109","Approved Work","","123757746"
"105 EAST 37 STREET","MANHATTAN","1019080","106","Approved Work","Essential Facility","M00319233; M00319249"
"105 EAST 63 STREET","MANHATTAN","1042088","108","Approved Work","Emergency Construction","123326374"
"105 WEST 125 STREET","MANHATTAN","1085673","110","Approved Work","Emergency Construction; Essential Facility","M00336459; M00339249"
"105 WEST 13 STREET","MANHATTAN","1010653","102","Approved Work","Single Worker Limit","M00271617"
"105 WEST 28 STREET","Manhattan","1090387","105","Approved Work","Emergency Construction","123765853"
"105 WEST 62ND ST","Manhattan","1028831","107","Approved Work","Electrical","M00341740"
"105 WEST 72 STREET","Manhattan","1029969","107","Approved Work","Essential Facility; LAA","123527843; M00298928"
"1050 PARK AVENUE","Manhattan","1046853","108","Approved Work","Essential Facility","M00225225; M00225270"
"1056 5 AVENUE","MANHATTAN","1046861","108","Approved Work","Essential Facility; Electrical","123830952; M00331153; M00342641"
"1057 1ST AVENUE","Manhattan","1040004","106","Approved Work","Single Worker Limit","123193203"
"1059 THIRD AVENUE","Manhattan","1043853","108","Approved Work","Essential Facility","121187599"
"106 WEST 134TH STREET","Manhattan","1058230","110","Approved Work","Essential Facility; Affordable Housing","123684129; 123750949"
"106 WEST 56TH STREET","Manhattan","1023395","105","Approved Work","Electrical","M00340579"
"106 WEST 69 STREET","Manhattan","1028949","107","Approved Work","Single Worker Limit","140901219"
"1060 AMSTERDAM AVENUE","MANHATTAN","1056997","109","Approved Work","Essential Facility; Essential Business","M00309556; 123661171"
"1060 PARK AVENUE","Manhattan","1046918","108","Approved Work","Emergency Construction","123029025"
"1071 ST NICHOLAS AVENUE","MANHATTAN","1062937","112","Approved Work","Electrical","M00343199"
"108 DELANCEY STREET","Manhattan","1005338","103","Approved Work","Electrical","M00342834"
"108 EAST 38 STREET","MANHATTAN","1019118","106","Approved Work","Emergency Construction","123491596; M00329921"
"108 LEONARD STREET","Manhattan","1001835","101","Approved Work","Emergency Construction","121185831; 140694078"
"1088 PARK AVENUE","Manhattan","1046956","108","Approved Work","Emergency Construction; Essential Facility","123794411; M00305051; M00305083"
"109 AUDUBON AVE","Manhattan","1063048","112","Approved Work","Single Worker Limit","123669672"
"109 EAST   36 STREET","MANHATTAN","1018938","106","Approved Work","LAA","M00341013"
"109 EAST 16TH STREET","Manhattan","1017821","105","Approved Work","Essential Business","140863046"
"109 EAST 50 STREET","MANHATTAN","1036450","105","Approved Work","Electrical","M00341710"
"109 WEST 57 STREET","Manhattan","1023728","105","Approved Work","Essential Facility","121332968"
"109 WEST 75 STREET","Manhattan","1030133","107","Approved Work","Single Worker Limit","140852646"
"1090 ST NICHOLAS AVENUE","MANHATTAN","1062893","112","Approved Work","Electrical","M00341330; M00341630"
"1091 AMSTERDAM AVENUE","MANHATTAN","1090071","109","Approved Work","Essential Facility","123893607"
"11 5 AVENUE","MANHATTAN","1009222","102","Approved Work","Emergency Construction; Essential Facility","M00279013"
"11 EAST 86 STREET","MANHATTAN","1046848","108","Approved Work","Emergency Construction","123570625"
"11 EAST 90 STREET","MANHATTAN","1047006","108","Approved Work","Electrical","M00341742"
"11 GREENE STREET","Manhattan","1090692","102","Approved Work","Emergency Construction","121186135"
"11 HANOVER SQUARE","Manhattan","1000833","101","Approved Work","Emergency Construction","140713743"
"11 HUBERT STREET","MANHATTAN","1002802","101","Approved Work","Electrical","M00346314"
"11 MAIDEN LANE","MANHATTAN","1001098","101","Approved Work","Electrical","M00343894"
"11 PARK PLACE","Manhattan","1001399","101","Approved Work","Essential Business","M00191906; M00191972"
"11 PENN PLAZA","Manhattan","1015175","105","Approved Work","Essential Facility","123842903"
"11 RIVERSIDE DR.","Manhattan","1030994","107","Approved Work","Essential Facility; Electrical","140862813; M00195949; M00344487"
"11 STONE STREET","Manhattan","1000041","101","Approved Work","Essential Facility","121333057"
"11 WALL STREET","Manhattan","1078982","101","Approved Work","Essential Business","123815452; M00238000; M00238029; M00238040"
"11 WAVERLY PLACE","MANHATTAN","1008838","102","Approved Work","Emergency Construction","123897088"
"11 WEST 116 ST","Manhattan","1051432","110","Approved Work","Emergency Construction","121204543"
"11 WEST 42ND STREET","Manhattan","1034198","105","Approved Work","Essential Business","123713703; M00206134; M00206325; M00206346; M00218557; M00218730; M00224688; M00260966; M00274697"
"11 WEST 53RD STREET","Manhattan","1081128","105","Approved Work","Electrical","M00346494"
"110 CHARLTON STREET","Manhattan","1090661","102","Approved Work","Emergency Construction","121191263"
"110 DELANCEY STREET","Manhattan","1087565","103","Approved Work","Essential Facility","123785396"
"110 EAST 42ND STREET","Manhattan","1083181","105","Approved Work","Emergency Construction; Essential Facility; Essential Business; Electrical","123891146; 122268125; 123891128; M00347724"
"110 POST AVENUE","MANHATTAN","1064782","112","Approved Work","LAA","M00343679"
"110 WEST 123RD STREET","Manhattan","1057739","110","Approved Work","Electrical","M00341676"
"110 WEST 81ST STREET","Manhattan","1031981","107","Approved Work","Emergency Construction","123133956"
"110 WEST END AVENUE","MANHATTAN","1030339","107","Approved Work","Emergency Construction","123872773"
"1100 AVENUE OF THE AMERICAS","Manhattan","1034195","105","Approved Work","Essential Facility; Essential Business; Electrical","123660190; 123768262; 123660190; M00344384"
"111 4TH AVENUE","Manhattan","1008977","103","Approved Work","Electrical","M00345495"
"111 BROADWAY","Manhattan","1001029","101","Approved Work","Emergency Construction","122786280"
"111 EAST 31 STREET","MANHATTAN","1018459","105","Approved Work","Electrical","M00347418"
"111 EAST 48TH STREET","Manhattan","1036224","105","Approved Work","Essential Facility; Electrical","123127179; M00346961"
"111 EAST 57TH STREET","Manhattan","1036903","105","Approved Work","Essential Facility","122233608"
"111 EAST 59TH STREET","Manhattan","1041901","108","Approved Work","Essential Facility","123724504; 123753143; 123774825; 123783389"
"111 SAINT MARKS PLACE","Manhattan","1005886","103","Approved Work","Essential Facility","123829189"
"111 THIRD AVENUE","Manhattan","1066718","103","Approved Work","Essential Facility","123868644; M00271453"
"111 VARICK STREET","Manhattan","1090671","102","Approved Work","Essential Facility; Affordable Housing","122383152"
"111 WEST 141 STREET","MANHATTAN","1060088","110","Approved Work","Essential Facility; Affordable Housing; Electrical","123694467; 123847356; M00341936"
"1114 AVENUE OF THE AMERICAS","Manhattan","1034196","105","Approved Work","Essential Facility; Essential Business; Electrical","123690112; 123725433; 123840031; M00274842; M00274897; M00297396; M00297407; M00297413; M00290644; M00344452"
"112 EAST 128 STREET","MANHATTAN","1054499","111","Approved Work","Electrical","M00341137"
"112 WEST 134TH STREET","Manhattan","1058232","110","Approved Work","Essential Facility; Affordable Housing","123684236; 123750930"
"112 WEST 87TH STREET","Manhattan","1032204","107","Approved Work","Single Worker Limit","123292212"
"1120 AVENUE OF THE AMERICAS","MANHATTAN","1034202","105","Approved Work","Essential Business","M00259327; M00259438; M00259496"
"113 JANE STREET","MANHATTAN","1012125","102","Approved Work","Essential Business","123143179"
